id,start_dt,entry_signal_dt,entry_confirm_dt,exit_signal_dt,exit_confirm_dt,ts_start_ns,ts_end_ns,entry_signal_ts_ns,entry_confirm_ts_ns,exit_signal_ts_ns,exit_confirm_ts_ns,symbol,buy_ex,sell_ex,start_spread,max_spread,end_spread,start_diff,max_diff,end_diff,avg_start,avg_end,dur_above_ms,dur_total_ms,start_buy_ask,start_buy_ask_sz,start_buy_ask_usd,start_sell_bid,start_sell_bid_sz,start_sell_bid_usd,end_buy_ask,end_buy_ask_sz,end_buy_ask_usd,end_sell_bid,end_sell_bid_sz,end_sell_bid_usd,avg_spread
1,2026-05-22 15:10:05.926000+00:00,2026-05-22 15:10:05.926000+00:00,2026-05-22 15:10:05.926000+00:00,2026-05-22 15:10:05.965000+00:00,2026-05-22 15:10:05.965000+00:00,1779462605927000000,1779462605965000000,1779462605927000000,1779462605927000000,1779462605965000000,1779462605965000000,BEATUSDT,binance,okx,0.4674207721791056,0.4674207721791056,0.1399645423159312,0.3367663777282149,0.3367663777282149,0.009310147865040502,0.1306543944508907,0.1306543944508907,9,38,1.0697,585,625.7745000000001,1.0747,9,9.6723,1.0717,566,606.5822000000001,1.0732,19,20.3908,0.1306570246507621
2,2026-05-22 15:10:27.361000+00:00,2026-05-22 15:10:27.361000+00:00,2026-05-22 15:10:27.361000+00:00,2026-05-22 15:10:27.387000+00:00,2026-05-22 15:10:27.387000+00:00,1779462627361000000,1779462627387000000,1779462627361000000,1779462627361000000,1779462627387000000,1779462627387000000,JELLYJELLYUSDT,binance,okx,0.3143306186598057,0.702811244979906,0,0.3124707911336733,0.7009514174537737,-0.001859827526132327,0.001859827526132327,0.001859827526132327,21,26,0.06999,3128,218.92872,0.07021,1,0.07021,0.0698,14257,995.1386,0.06977,18,1.25586,0.001866603062393108
3,2026-05-22 15:10:29.713000+00:00,2026-05-22 15:10:29.713000+00:00,2026-05-22 15:10:29.713000+00:00,2026-05-22 15:10:29.733000+00:00,2026-05-22 15:10:29.733000+00:00,1779462629713000000,1779462629733000000,1779462629713000000,1779462629713000000,1779462629733000000,1779462629733000000,SAPIENUSDT,okx,binance,0.3154076644062541,0.3154076644062541,0,0.3153962730397072,0.3153962730397072,-1.139136654691437e-05,1.139136654691437e-05,1.139136654691437e-05,0,20,0.12682,3,0.38046,0.12722,41,5.21602,0.12715,1,0.12715,0.12705,1181,150.04605,1.196594764002512e-05
4,2026-05-22 15:10:43.904000+00:00,2026-05-22 15:10:43.904000+00:00,2026-05-22 15:10:43.904000+00:00,2026-05-22 15:10:43.933000+00:00,2026-05-22 15:10:43.933000+00:00,1779462643904000000,1779462643934000000,1779462643904000000,1779462643904000000,1779462643934000000,1779462643934000000,ZBTUSDT,okx,binance,0.3140421713772931,0.4614497212074591,0,0.3139148276398946,0.4613223774700606,-0.0001273437373985242,0.0001273437373985242,0.0001273437373985242,12,30,0.15603,333,51.95799,0.15652,935,146.3462,0.15676,4,0.62704,0.15676,129,20.22204,0.000129856513658939
5,2026-05-22 15:10:49.654000+00:00,2026-05-22 15:10:49.654000+00:00,2026-05-22 15:10:49.654000+00:00,2026-05-22 15:10:49.674000+00:00,2026-05-22 15:10:49.674000+00:00,1779462649654000000,1779462649674000000,1779462649654000000,1779462649654000000,1779462649674000000,1779462649674000000,ZBTUSDT,okx,binance,0.3582853486884229,0.3582853486884229,0,0.3581502106680158,0.3581502106680158,-0.0001351380204070882,0.0001351380204070882,0.0001351380204070882,0,20,0.1563,333,52.0479,0.15686,279,43.76394,0.15663,18,2.81934,0.15663,1041,163.05183,0.0001406824272201408
6,2026-05-22 15:11:05.810000+00:00,2026-05-22 15:11:05.810000+00:00,2026-05-22 15:11:05.810000+00:00,2026-05-22 15:11:05.831000+00:00,2026-05-22 15:11:05.831000+00:00,1779462665810000000,1779462665831000000,1779462665810000000,1779462665810000000,1779462665831000000,1779462665831000000,SPKUSDT,binance,okx,0.3483106931382772,0.4182642035552407,0,0.3479664801389315,0.417919990555895,-0.0003442129993457106,0.0003442129993457106,0.0003442129993457106,15,21,0.02871,141935,4074.95385,0.02881,5,0.14405,0.0287,17197,493.5539,0.02869,99,2.84031,0.0003459259591711544
7,2026-05-22 15:11:05.837000+00:00,2026-05-22 15:11:05.837000+00:00,2026-05-22 15:11:05.837000+00:00,2026-05-22 15:11:05.855000+00:00,2026-05-22 15:11:05.855000+00:00,1779462665837000000,1779462665856000000,1779462665837000000,1779462665837000000,1779462665856000000,1779462665856000000,SPKUSDT,okx,binance,0.3145753233135261,0.3145753233135261,0,0.3145692463037799,0.3145692463037799,-6.077009746173248e-06,6.077009746173248e-06,6.077009746173248e-06,0,19,0.02861,55,1.57355,0.0287,28839,827.6793,0.02867,35,1.00345,0.02866,200809,5755.18594,8.27257215383386e-06
8,2026-05-22 15:11:09.136000+00:00,2026-05-22 15:11:09.136000+00:00,2026-05-22 15:11:09.136000+00:00,2026-05-22 15:11:09.169000+00:00,2026-05-22 15:11:09.169000+00:00,1779462669136000000,1779462669169000000,1779462669136000000,1779462669136000000,1779462669169000000,1779462669169000000,BEATUSDT,binance,okx,0.601517675365533,0.601517675365533,0.1290560471976464,0.4705671724885271,0.4705671724885271,-0.001894455679359586,0.130950502877006,0.130950502877006,21,33,1.0806,78,84.2868,1.0871,1659,1803.4989,1.0848,483,523.9584,1.0862,78,84.7236,0.1309569322097439
9,2026-05-22 15:11:44.639000+00:00,2026-05-22 15:11:44.639000+00:00,2026-05-22 15:11:44.639000+00:00,2026-05-22 15:11:44.690000+00:00,2026-05-22 15:11:44.690000+00:00,1779462704639000000,1779462704690000000,1779462704639000000,1779462704639000000,1779462704690000000,1779462704690000000,SAHARAUSDT,okx,binance,0.3017501508750631,0.3017501508750631,0,0.3017172317653919,0.3017172317653919,-3.291910967115868e-05,3.291910967115868e-05,3.291910967115868e-05,3,51,0.03314,272,9.01408,0.03324,15858,527.11992,0.03322,2526,83.91372,0.03322,8476,281.57272,3.661044769617172e-05
10,2026-05-22 15:11:47.073000+00:00,2026-05-22 15:11:47.073000+00:00,2026-05-22 15:11:47.073000+00:00,2026-05-22 15:11:47.097000+00:00,2026-05-22 15:11:47.097000+00:00,1779462707073000000,1779462707097000000,1779462707073000000,1779462707073000000,1779462707097000000,1779462707097000000,BABYUSDT,okx,binance,0.4281345565749274,1.100917431192658,0,0.4281253366941741,1.100908211311905,-9.219880753242729e-06,9.219880753242729e-06,9.219880753242729e-06,21,24,0.01635,5773,94.38855,0.01642,9217,151.34314,0.01653,1158,19.14174,0.01653,940,15.5382,2.609509521336895e-05
