event_id,detected_at_utc,market,buy_exchange,sell_exchange,start_spread_pct,max_spread_pct,duration_ms,buy_price,sell_price,average_spread_pct
1,2026-05-22 15:10:05.926000+00:00,BEATUSDT,binance,okx,0.467421,0.467421,38,1.0697,1.0747,0.130657
2,2026-05-22 15:10:27.361000+00:00,JELLYJELLYUSDT,binance,okx,0.314331,0.702811,26,0.06999,0.07021,0.001867
3,2026-05-22 15:10:29.713000+00:00,SAPIENUSDT,okx,binance,0.315408,0.315408,20,0.12682,0.12722,1.2e-05
4,2026-05-22 15:10:43.904000+00:00,ZBTUSDT,okx,binance,0.314042,0.46145,30,0.15603,0.15652,0.00013
5,2026-05-22 15:10:49.654000+00:00,ZBTUSDT,okx,binance,0.358285,0.358285,20,0.1563,0.15686,0.000141
6,2026-05-22 15:11:05.810000+00:00,SPKUSDT,binance,okx,0.348311,0.418264,21,0.02871,0.02881,0.000346
7,2026-05-22 15:11:05.837000+00:00,SPKUSDT,okx,binance,0.314575,0.314575,19,0.02861,0.0287,8e-06
8,2026-05-22 15:11:09.136000+00:00,BEATUSDT,binance,okx,0.601518,0.601518,33,1.0806,1.0871,0.130957
9,2026-05-22 15:11:44.639000+00:00,SAHARAUSDT,okx,binance,0.30175,0.30175,51,0.03314,0.03324,3.7e-05
10,2026-05-22 15:11:47.073000+00:00,BABYUSDT,okx,binance,0.428135,1.100917,24,0.01635,0.01642,2.6e-05
11,2026-05-22 15:12:04.680000+00:00,BEATUSDT,binance,okx,0.43429,0.43429,19,1.0592,1.0638,0.131724
12,2026-05-22 15:12:34.281000+00:00,BEATUSDT,binance,okx,0.454287,0.482817,3087,1.0566,1.0614,0.13274
13,2026-05-22 15:13:01.274000+00:00,STABLEUSDT,binance,okx,1.129761,1.162415,24,0.03098,0.03133,0.032635
14,2026-05-22 15:13:01.312000+00:00,STABLEUSDT,binance,okx,0.387347,0.551053,519,0.03098,0.0311,0.03267
15,2026-05-22 15:13:02.307000+00:00,STABLEUSDT,binance,okx,0.485751,0.485751,313,0.03088,0.03103,0.032704
16,2026-05-22 15:13:36.384000+00:00,STABLEUSDT,binance,okx,0.616683,0.813008,46,0.03081,0.031,0.033697
17,2026-05-22 15:13:36.474000+00:00,PYTHUSDT,binance,okx,0.334448,0.406407,19,0.04186,0.042,1.6e-05
18,2026-05-22 15:14:02.474000+00:00,BEATUSDT,binance,okx,0.494908,0.494908,3565,1.0507,1.0559,0.13343
19,2026-05-22 15:14:06.054000+00:00,BEATUSDT,okx,binance,0.343675,0.353256,6,1.0475,1.0511,0.000719
20,2026-05-22 15:14:07.598000+00:00,BEATUSDT,okx,binance,0.427184,1.055409,37,1.03,1.0344,0.000728
21,2026-05-22 15:14:08.081000+00:00,ZBTUSDT,binance,okx,0.352587,0.352587,12,0.15599,0.15654,0.052371
22,2026-05-22 15:14:44.123000+00:00,SPACEUSDT,binance,okx,0.328159,0.366162,21,0.007923,0.007949,0.009196
23,2026-05-22 15:14:46.799000+00:00,BEATUSDT,binance,okx,0.437855,0.467941,48,1.0049,1.0093,0.132263
24,2026-05-22 15:14:51.475000+00:00,BEATUSDT,binance,okx,0.480673,0.480673,44,0.9986,1.0034,0.132141
25,2026-05-22 15:15:11.754000+00:00,BEATUSDT,okx,binance,0.323119,0.354795,18,0.9594,0.9625,0.000727
26,2026-05-22 15:15:11.794000+00:00,BEATUSDT,binance,okx,0.470072,0.470072,20,0.9573,0.9618,0.131316
